PONumber,ItemNumber,PartNumber,BoxNumber,Units,Warehouse,SAC,LBS
LCA20809-1,3,FND100-468-S,LCA20809-1/00060,24,Warehouse,6110200000,1.04
LCA20809-1,3,FND100-468-S,LCA20809-1/00060.1,12,Warehouse,6110200000,1.04
LCA20809-1,4,FND100-468-M,LCA20809-1/00061,24,Warehouse,6110200000,1.04
LCA20809-1,4,FND100-468-M,LCA20809-1/00062,24,Warehouse,6110200000,1.04
LCA20809-1,4,FND100-468-M,LCA20809-1/00062.1,15,Warehouse,6110200000,1.04
LCA20809-1,5,FND100-468-L,LCA20809-1/00063,24,Warehouse,6110200000,1.04
LCA20809-1,5,FND100-468-L,LCA20809-1/00064,24,Warehouse,6110200000,1.04
LCA20809-1,5,FND100-468-L,LCA20809-1/00064.1,18,Warehouse,6110200000,1.04
LCA20809-1,6,FND100-468-XL,LCA20809-1/00065,24,Warehouse,6110200000,1.04
LCA20809-1,6,FND100-468-XL,LCA20809-1/00065.1,11,Warehouse,6110200000,1.04
